transaction_date,transaction_id,customer_name,item_name,quantity,amount,transaction_status,location
2025-08-05,DOC46,Tazz,Access Point,11,1793.0,Paid In Full,Remote
2025-02-25,DOC47,Camido,Switch,7,1862.0,Voided,California Office
2025-03-09,DOC48,Brainlounge,Server License,8,3656.0,Voided,New York Warehouse
2025-09-25,DOC49,Katz,Cloud Subscription,9,1566.0,Open,Texas DC
2025-05-31,DOC50,Topicshots,Firewall,4,1664.0,Open,New York Warehouse
2025-06-01,DOC51,Eimbee,Cloud Subscription,2,348.0,Open,California Office
2025-10-13,DOC52,Divavu,Router,10,2890.0,Open,Remote
2025-07-16,DOC53,Dabvine,Server License,20,9140.0,Voided,Remote
2025-08-20,DOC54,Devshare,Router,13,3757.0,Voided,Remote
2025-07-29,DOC55,Edgetag,Switch,9,2394.0,Open,New York Warehouse
2025-07-16,DOC56,Rooxo,Server License,9,4113.0,Paid In Full,California Office
2025-02-23,DOC57,Avamba,Server License,10,4570.0,Voided,California Office
2025-06-24,DOC58,Quire,Switch,5,1330.0,Paid In Full,California Office
2025-10-20,DOC59,Flashpoint,Router,17,4913.0,Voided,Remote
2025-08-05,DOC60,Babbleblab,Router,5,1445.0,Paid In Full,California Office
2025-09-15,DOC61,Blogtag,Cloud Subscription,12,2088.0,Voided,Texas DC
2025-04-04,DOC62,Oyoloo,Cloud Subscription,10,1740.0,Voided,Remote
2025-10-12,DOC63,Trilia,Access Point,6,978.0,Open,New York Warehouse
2025-10-29,DOC64,Agivu,Cloud Subscription,17,2958.0,Open,California Office
2025-08-22,DOC65,Jaloo,Firewall,9,3744.0,Paid In Full,California Office
2025-06-13,DOC66,Rhynyx,Firewall,12,4992.0,Open,Remote
2025-04-24,DOC67,Skiptube,Server License,9,4113.0,Open,Texas DC
2025-06-02,DOC68,Ntags,Switch,9,2394.0,Voided,Texas DC
2025-03-26,DOC69,Browsecat,Router,6,1734.0,Voided,Remote
2025-06-15,DOC70,Cogidoo,Cloud Subscription,19,3306.0,Voided,New York Warehouse
2025-02-24,DOC71,Katz,Router,4,1156.0,Open,Remote
2025-05-26,DOC72,Chatterbridge,Cloud Subscription,15,2610.0,Open,New York Warehouse
2025-05-26,DOC73,Youspan,Switch,19,5054.0,Open,New York Warehouse
2025-07-30,DOC74,Livetube,Access Point,7,1141.0,Voided,New York Warehouse
2025-06-28,DOC75,Fatz,Firewall,4,1664.0,Paid In Full,Texas DC
2025-07-26,DOC76,Oyoyo,Router,20,5780.0,Paid In Full,Texas DC
2025-08-16,DOC77,Skalith,Cloud Subscription,20,3480.0,Voided,Texas DC
2025-06-30,DOC78,Devbug,Firewall,18,7488.0,Paid In Full,New York Warehouse
2025-04-16,DOC79,Katz,Access Point,13,2119.0,Paid In Full,Texas DC
2025-02-06,DOC80,Realpoint,Cloud Subscription,3,522.0,Voided,New York Warehouse
2025-04-02,DOC81,Mydo,Firewall,13,5408.0,Voided,California Office
2025-06-24,DOC82,Oodoo,Cloud Subscription,1,174.0,Open,Texas DC
2025-03-07,DOC83,Zava,Router,13,3757.0,Open,New York Warehouse
2025-09-03,DOC84,Camimbo,Switch,14,3724.0,Voided,California Office
2025-12-13,DOC85,Buzzster,Access Point,14,2282.0,Open,California Office
2025-08-07,DOC86,Zoovu,Firewall,6,2496.0,Paid In Full,Texas DC
2025-07-13,DOC87,Photobean,Router,1,289.0,Voided,Remote
2025-06-21,DOC88,Cogilith,Access Point,3,489.0,Voided,New York Warehouse
2025-03-27,DOC89,Dablist,Switch,14,3724.0,Paid In Full,New York Warehouse
2025-01-27,DOC90,Rhynyx,Router,6,1734.0,Voided,California Office
2025-02-12,DOC91,Snaptags,Router,17,4913.0,Paid In Full,Remote
2025-05-23,DOC92,Browsebug,Switch,10,2660.0,Paid In Full,New York Warehouse
2025-12-07,DOC93,Ntags,Access Point,10,1630.0,Voided,New York Warehouse
2025-04-21,DOC94,Thoughtworks,Firewall,16,6656.0,Voided,California Office
2025-02-15,DOC95,Meezzy,Cloud Subscription,19,3306.0,Voided,California Office
2025-06-25,DOC96,Divavu,Switch,3,798.0,Open,Remote
2025-11-24,DOC97,Abatz,Router,14,4046.0,Voided,Texas DC
2025-10-31,DOC98,Tagpad,Switch,14,3724.0,Voided,Texas DC
2025-06-09,DOC99,Tagtune,Access Point,17,2771.0,Paid In Full,California Office
2025-01-09,DOC100,Yozio,Firewall,2,832.0,Paid In Full,New York Warehouse
2025-11-16,DOC101,Skinte,Access Point,17,2771.0,Open,Remote
2025-01-03,DOC102,Shuffletag,Server License,4,1828.0,Voided,New York Warehouse
2025-12-06,DOC103,Twinte,Router,2,578.0,Paid In Full,Remote
2025-06-18,DOC104,Dabjam,Cloud Subscription,19,3306.0,Voided,California Office
2025-01-06,DOC105,Leexo,Firewall,4,1664.0,Voided,California Office
2025-03-03,DOC106,Yambee,Router,17,4913.0,Paid In Full,Remote
2025-04-25,DOC107,Trilia,Server License,7,3199.0,Paid In Full,New York Warehouse
2025-11-30,DOC108,Realpoint,Router,9,2601.0,Open,Remote
2025-10-07,DOC109,Meevee,Access Point,8,1304.0,Open,Texas DC
2025-08-07,DOC110,Wordware,Cloud Subscription,9,1566.0,Paid In Full,New York Warehouse
2025-09-08,DOC111,Flashset,Access Point,18,2934.0,Paid In Full,California Office
2025-03-21,DOC112,Flashpoint,Access Point,11,1793.0,Open,Texas DC
2025-08-24,DOC113,Yabox,Access Point,5,815.0,Voided,Texas DC
2025-05-23,DOC114,Voonix,Access Point,8,1304.0,Open,California Office
2025-08-07,DOC115,Skaboo,Switch,4,1064.0,Open,Texas DC
2025-04-22,DOC116,Babbleblab,Access Point,11,1793.0,Paid In Full,New York Warehouse
2025-05-18,DOC117,Rooxo,Access Point,20,3260.0,Paid In Full,New York Warehouse
2025-02-21,DOC118,Abatz,Cloud Subscription,5,870.0,Paid In Full,Texas DC
2025-03-07,DOC119,Eadel,Server License,18,8226.0,Open,Texas DC
2025-07-01,DOC120,Gigaclub,Firewall,16,6656.0,Open,California Office
2025-09-02,DOC121,Demizz,Server License,19,8683.0,Paid In Full,Texas DC
2025-10-29,DOC122,Ntag,Access Point,13,2119.0,Voided,New York Warehouse
2025-02-25,DOC123,Vinte,Router,2,578.0,Open,New York Warehouse
2025-01-11,DOC124,Buzzbean,Switch,16,4256.0,Open,Texas DC
2025-10-16,DOC125,Ozu,Switch,12,3192.0,Voided,Remote
2025-11-28,DOC126,Skinte,Switch,2,532.0,Voided,New York Warehouse
2025-07-12,DOC127,Brainlounge,Firewall,11,4576.0,Voided,Remote
2025-02-11,DOC128,Yozio,Server License,11,5027.0,Voided,New York Warehouse
2025-10-30,DOC129,Shufflebeat,Router,9,2601.0,Open,Remote
2025-03-09,DOC130,Chatterbridge,Switch,19,5054.0,Voided,Texas DC
2025-11-24,DOC131,Dynazzy,Server License,5,2285.0,Open,New York Warehouse
2025-10-29,DOC132,Blognation,Switch,18,4788.0,Paid In Full,California Office
2025-03-23,DOC133,Zoonoodle,Firewall,12,4992.0,Voided,New York Warehouse
2025-03-06,DOC134,Photobug,Access Point,12,1956.0,Paid In Full,Remote
2025-10-26,DOC135,Npath,Firewall,18,7488.0,Voided,New York Warehouse
2025-10-19,DOC136,Talane,Switch,1,266.0,Open,Texas DC
2025-01-19,DOC137,Feedbug,Switch,16,4256.0,Voided,California Office
2025-03-24,DOC138,Dablist,Router,7,2023.0,Paid In Full,Remote
2025-01-07,DOC139,Jaloo,Router,8,2312.0,Open,New York Warehouse
2025-10-11,DOC140,Quatz,Cloud Subscription,18,3132.0,Paid In Full,California Office
2025-08-13,DOC141,Janyx,Server License,8,3656.0,Paid In Full,California Office
2025-07-23,DOC142,Blogspan,Cloud Subscription,13,2262.0,Voided,Texas DC
2025-07-01,DOC143,Jayo,Switch,18,4788.0,Paid In Full,New York Warehouse
2025-03-26,DOC144,Kamba,Router,6,1734.0,Voided,Texas DC
2025-01-07,DOC145,Pixope,Cloud Subscription,2,348.0,Paid In Full,Remote
2025-04-30,DOC146,Kazio,Cloud Subscription,8,1392.0,Open,Remote
2025-08-06,DOC147,Dabvine,Server License,3,1371.0,Paid In Full,California Office
2025-06-17,DOC148,Realbuzz,Access Point,20,3260.0,Voided,Texas DC
2025-06-04,DOC149,Lajo,Cloud Subscription,3,522.0,Voided,New York Warehouse
2025-07-26,DOC150,Quinu,Firewall,4,1664.0,Paid In Full,California Office
2025-04-29,DOC151,LiveZ,Switch,1,266.0,Open,Remote
2025-05-12,DOC152,Shufflebeat,Router,2,578.0,Paid In Full,New York Warehouse
2025-08-26,DOC153,Bubblemix,Access Point,5,815.0,Open,New York Warehouse
2025-09-23,DOC154,Skibox,Access Point,20,3260.0,Voided,New York Warehouse
2025-05-05,DOC155,Fliptune,Firewall,15,6240.0,Paid In Full,Texas DC
2025-05-02,DOC156,Layo,Firewall,3,1248.0,Open,Remote
2025-09-03,DOC157,Yodel,Switch,20,5320.0,Open,New York Warehouse
2025-06-17,DOC158,Mybuzz,Switch,1,266.0,Open,California Office
2025-05-24,DOC159,Flashset,Firewall,7,2912.0,Voided,Texas DC
2025-04-20,DOC160,Browsezoom,Access Point,7,1141.0,Open,Texas DC
2025-07-14,DOC161,Abatz,Cloud Subscription,20,3480.0,Voided,Texas DC
2025-03-31,DOC162,Eare,Switch,18,4788.0,Open,Texas DC
2025-07-25,DOC163,Trilia,Access Point,13,2119.0,Open,New York Warehouse
2025-03-10,DOC164,Tagtune,Router,20,5780.0,Voided,New York Warehouse
2025-11-09,DOC165,Babblestorm,Switch,11,2926.0,Paid In Full,Texas DC
2025-12-12,DOC166,Kwimbee,Server License,7,3199.0,Open,Texas DC
2025-05-08,DOC167,Rhyzio,Switch,20,5320.0,Voided,Texas DC
2025-10-09,DOC168,Eazzy,Access Point,6,978.0,Paid In Full,New York Warehouse
2025-11-22,DOC169,Brainverse,Firewall,15,6240.0,Open,Remote
2025-01-31,DOC170,Babbleset,Router,18,5202.0,Voided,California Office
2025-09-04,DOC171,Gigashots,Access Point,13,2119.0,Voided,New York Warehouse
2025-05-12,DOC172,Jayo,Firewall,5,2080.0,Open,Remote
2025-09-30,DOC173,Twitternation,Firewall,8,3328.0,Paid In Full,New York Warehouse
2025-09-24,DOC174,Photojam,Server License,8,3656.0,Voided,Remote
2025-04-04,DOC175,Zoombeat,Firewall,13,5408.0,Open,Remote
2025-03-23,DOC176,Devpoint,Server License,6,2742.0,Open,Texas DC
2025-11-06,DOC177,Twitterworks,Cloud Subscription,8,1392.0,Open,California Office
2025-11-26,DOC178,Gigazoom,Cloud Subscription,7,1218.0,Open,California Office
2025-03-25,DOC179,Fanoodle,Cloud Subscription,2,348.0,Open,Texas DC
2025-01-08,DOC180,Mynte,Switch,11,2926.0,Open,Texas DC
2025-01-02,DOC181,Einti,Cloud Subscription,8,1392.0,Voided,Remote
2025-03-24,DOC182,Brainlounge,Switch,9,2394.0,Voided,Remote
2025-01-14,DOC183,Trunyx,Access Point,5,815.0,Voided,Texas DC
2025-04-12,DOC184,Tagfeed,Firewall,5,2080.0,Paid In Full,Remote
2025-03-21,DOC185,Livetube,Access Point,11,1793.0,Paid In Full,New York Warehouse
2025-11-24,DOC186,Twitterbeat,Router,6,1734.0,Paid In Full,California Office
2025-04-28,DOC187,Dabtype,Server License,19,8683.0,Open,New York Warehouse
2025-11-29,DOC188,Brainverse,Cloud Subscription,7,1218.0,Paid In Full,California Office
2025-05-23,DOC189,Topiczoom,Access Point,4,652.0,Voided,New York Warehouse
2025-10-25,DOC190,Myworks,Access Point,8,1304.0,Paid In Full,Remote
2025-08-29,DOC191,Skinder,Access Point,11,1793.0,Voided,New York Warehouse
2025-07-25,DOC192,Skivee,Access Point,20,3260.0,Open,Remote
2025-02-17,DOC193,Shufflester,Router,14,4046.0,Voided,California Office
2025-12-09,DOC194,Flashdog,Server License,15,6855.0,Open,New York Warehouse
2025-04-06,DOC195,Buzzbean,Access Point,12,1956.0,Open,Remote
2025-12-15,DOC196,Voonder,Server License,2,914.0,Paid In Full,Remote
2025-08-07,DOC197,Flashset,Router,9,2601.0,Voided,Texas DC
2025-05-22,DOC198,Eire,Cloud Subscription,2,348.0,Paid In Full,New York Warehouse
2025-07-27,DOC199,Thoughtstorm,Firewall,7,2912.0,Paid In Full,Remote
2025-05-19,DOC200,Jetwire,Access Point,3,489.0,Paid In Full,New York Warehouse
2025-04-16,DOC201,Camido,Access Point,1,163.0,Paid In Full,Texas DC
2025-11-15,DOC202,Youspan,Cloud Subscription,6,1044.0,Open,California Office
2025-10-12,DOC203,Feedspan,Router,14,4046.0,Open,New York Warehouse
2025-08-21,DOC204,Photobug,Firewall,3,1248.0,Open,Texas DC
2025-03-19,DOC205,Talane,Router,11,3179.0,Paid In Full,Remote
2025-07-24,DOC206,Flashdog,Access Point,5,815.0,Open,California Office
2025-07-17,DOC207,Zazio,Cloud Subscription,19,3306.0,Paid In Full,New York Warehouse
2025-12-06,DOC208,Skinder,Switch,1,266.0,Paid In Full,Remote
2025-02-18,DOC209,Yodel,Access Point,17,2771.0,Paid In Full,Texas DC
2025-11-11,DOC210,Browseblab,Cloud Subscription,11,1914.0,Paid In Full,Texas DC
2025-02-24,DOC211,Meembee,Cloud Subscription,17,2958.0,Voided,New York Warehouse
2025-02-23,DOC212,Twimbo,Access Point,18,2934.0,Voided,Remote
2025-05-15,DOC213,Dabshots,Access Point,2,326.0,Paid In Full,Remote
2025-08-16,DOC214,Yakidoo,Access Point,3,489.0,Voided,Remote
2025-06-05,DOC215,Wordtune,Firewall,10,4160.0,Paid In Full,Remote
2025-07-09,DOC216,Rhycero,Server License,12,5484.0,Paid In Full,California Office
2025-04-03,DOC217,Camido,Switch,3,798.0,Open,Remote
2025-06-17,DOC218,Fadeo,Access Point,2,326.0,Open,New York Warehouse
2025-08-30,DOC219,Realfire,Firewall,11,4576.0,Paid In Full,California Office
2025-03-21,DOC220,Meembee,Server License,16,7312.0,Paid In Full,Texas DC
2025-07-29,DOC221,Twitterwire,Firewall,7,2912.0,Open,Remote
2025-11-21,DOC222,Eidel,Server License,2,914.0,Paid In Full,Texas DC
2025-03-29,DOC223,Bluezoom,Router,11,3179.0,Voided,Remote
2025-06-10,DOC224,Demivee,Cloud Subscription,10,1740.0,Paid In Full,California Office
2025-08-19,DOC225,Gigashots,Switch,7,1862.0,Paid In Full,Texas DC
2025-08-22,DOC226,Kazio,Switch,4,1064.0,Open,Remote
2025-04-08,DOC227,Realcube,Access Point,8,1304.0,Voided,Remote
2025-09-12,DOC228,Kare,Switch,12,3192.0,Paid In Full,Texas DC
2025-11-29,DOC229,Skinder,Router,15,4335.0,Paid In Full,Remote
2025-12-01,DOC230,Vimbo,Router,14,4046.0,Voided,Texas DC
2025-07-18,DOC231,Edgewire,Cloud Subscription,13,2262.0,Open,Texas DC
2025-01-25,DOC232,Lazz,Cloud Subscription,9,1566.0,Paid In Full,Texas DC
2025-05-14,DOC233,Riffpedia,Access Point,9,1467.0,Voided,New York Warehouse
2025-03-13,DOC234,Kanoodle,Cloud Subscription,5,870.0,Paid In Full,Texas DC
2025-05-05,DOC235,Gevee,Firewall,19,7904.0,Paid In Full,California Office
2025-06-01,DOC236,Voomm,Firewall,2,832.0,Voided,Texas DC
2025-11-07,DOC237,Brightbean,Cloud Subscription,20,3480.0,Paid In Full,California Office
2025-04-16,DOC238,Flashpoint,Access Point,14,2282.0,Voided,Remote
2025-04-25,DOC239,Livepath,Cloud Subscription,8,1392.0,Paid In Full,Remote
2025-03-28,DOC240,Flashdog,Cloud Subscription,10,1740.0,Voided,Texas DC
2025-02-15,DOC241,Jabbercube,Server License,9,4113.0,Paid In Full,New York Warehouse
2025-10-17,DOC242,Edgetag,Switch,17,4522.0,Voided,Remote
2025-04-26,DOC243,Shufflester,Switch,13,3458.0,Paid In Full,Texas DC
2025-01-09,DOC244,Quinu,Switch,18,4788.0,Paid In Full,Texas DC
2025-05-19,DOC245,Youtags,Switch,20,5320.0,Paid In Full,New York Warehouse
2025-11-24,DOC246,Yombu,Cloud Subscription,18,3132.0,Voided,Remote
2025-04-12,DOC247,Skyvu,Cloud Subscription,13,2262.0,Paid In Full,Remote
2025-01-04,DOC248,Lazzy,Server License,20,9140.0,Open,Remote
2025-06-08,DOC249,Flashpoint,Router,16,4624.0,Paid In Full,Texas DC
2025-09-20,DOC250,Skivee,Switch,16,4256.0,Open,Texas DC
2025-06-11,DOC251,Thoughtstorm,Server License,12,5484.0,Voided,California Office
2025-09-26,DOC252,Vipe,Router,12,3468.0,Paid In Full,Texas DC
2025-03-06,DOC253,Dablist,Server License,19,8683.0,Open,Remote
2025-09-20,DOC254,Flipbug,Cloud Subscription,7,1218.0,Paid In Full,California Office
2025-11-03,DOC255,Yakitri,Router,5,1445.0,Voided,California Office
2025-02-03,DOC256,Aivee,Cloud Subscription,9,1566.0,Open,Remote
2025-07-23,DOC257,Wikibox,Firewall,11,4576.0,Voided,Remote
2025-07-18,DOC258,Topiclounge,Firewall,1,416.0,Open,Remote
2025-11-15,DOC259,Livepath,Cloud Subscription,14,2436.0,Open,New York Warehouse
2025-11-10,DOC260,Shuffledrive,Firewall,1,416.0,Voided,New York Warehouse
2025-06-06,DOC261,Riffpath,Router,11,3179.0,Voided,Texas DC
2025-02-21,DOC262,Dabjam,Access Point,10,1630.0,Voided,California Office
2025-01-31,DOC263,Rhycero,Cloud Subscription,8,1392.0,Open,New York Warehouse
2025-08-23,DOC264,Yodel,Cloud Subscription,12,2088.0,Voided,Remote
2025-10-26,DOC265,Riffpedia,Switch,9,2394.0,Voided,California Office
2025-09-23,DOC266,Fiveclub,Switch,8,2128.0,Paid In Full,Remote
2025-11-20,DOC267,Flipopia,Server License,3,1371.0,Paid In Full,California Office
2025-10-04,DOC268,Twitterbridge,Cloud Subscription,12,2088.0,Paid In Full,California Office
2025-10-31,DOC269,Thoughtblab,Firewall,9,3744.0,Voided,New York Warehouse
2025-10-19,DOC270,Skynoodle,Switch,8,2128.0,Paid In Full,Remote
2025-06-24,DOC271,Fivechat,Access Point,20,3260.0,Voided,Remote
2025-08-19,DOC272,Miboo,Router,18,5202.0,Open,Texas DC
2025-07-08,DOC273,Twitternation,Firewall,13,5408.0,Voided,California Office
2025-06-18,DOC274,Meevee,Cloud Subscription,8,1392.0,Voided,Texas DC
2025-01-03,DOC275,Eire,Firewall,14,5824.0,Open,California Office
2025-03-27,DOC276,Wordtune,Server License,14,6398.0,Voided,California Office
2025-11-29,DOC277,Riffpath,Router,7,2023.0,Voided,Remote
2025-11-02,DOC278,Skimia,Access Point,7,1141.0,Paid In Full,New York Warehouse
2025-01-26,DOC279,Voonte,Router,8,2312.0,Voided,Texas DC
2025-09-03,DOC280,Tagpad,Firewall,15,6240.0,Open,Texas DC
2025-10-17,DOC281,Realmix,Access Point,2,326.0,Paid In Full,Texas DC
2025-02-19,DOC282,Abatz,Access Point,17,2771.0,Open,California Office
2025-03-01,DOC283,Devcast,Cloud Subscription,12,2088.0,Open,New York Warehouse
2025-12-01,DOC284,Quire,Access Point,17,2771.0,Paid In Full,New York Warehouse
2025-02-02,DOC285,Twinte,Cloud Subscription,5,870.0,Voided,New York Warehouse
2025-11-18,DOC286,Oyonder,Router,20,5780.0,Open,New York Warehouse
2025-07-07,DOC287,Skipstorm,Access Point,7,1141.0,Voided,Remote
2025-07-12,DOC288,Topicshots,Firewall,20,8320.0,Voided,New York Warehouse
2025-07-20,DOC289,Twimm,Firewall,7,2912.0,Open,California Office
2025-03-06,DOC290,Centimia,Cloud Subscription,9,1566.0,Open,New York Warehouse
2025-11-12,DOC291,Minyx,Switch,8,2128.0,Open,Remote
2025-12-13,DOC292,InnoZ,Firewall,1,416.0,Paid In Full,California Office
2025-09-05,DOC293,Oloo,Router,13,3757.0,Open,New York Warehouse
2025-08-21,DOC294,Zoomdog,Firewall,9,3744.0,Paid In Full,Texas DC
2025-03-02,DOC295,Jaxnation,Access Point,13,2119.0,Voided,California Office
2025-08-26,DOC296,Ailane,Firewall,6,2496.0,Voided,Remote
2025-06-10,DOC297,Twitterwire,Router,1,289.0,Paid In Full,California Office
2025-05-12,DOC298,Quatz,Cloud Subscription,11,1914.0,Paid In Full,California Office
2025-04-08,DOC299,Tazzy,Server License,14,6398.0,Paid In Full,Remote
2025-08-10,DOC300,Jetwire,Server License,7,3199.0,Paid In Full,Texas DC
2025-09-25,DOC301,Zoomdog,Server License,9,4113.0,Voided,California Office
2025-09-08,DOC302,Wordtune,Server License,19,8683.0,Open,Remote
2025-06-09,DOC303,Photobug,Router,18,5202.0,Open,Texas DC
2025-10-21,DOC304,Quimm,Server License,4,1828.0,Voided,Texas DC
2025-05-11,DOC305,Babbleblab,Firewall,6,2496.0,Voided,California Office
2025-12-11,DOC306,Browsetype,Router,9,2601.0,Paid In Full,California Office
2025-10-14,DOC307,Vimbo,Access Point,8,1304.0,Open,Remote
2025-03-18,DOC308,Dynazzy,Cloud Subscription,20,3480.0,Voided,Remote
2025-11-13,DOC309,Yambee,Cloud Subscription,7,1218.0,Open,Remote
2025-01-30,DOC310,Topiclounge,Firewall,2,832.0,Paid In Full,New York Warehouse
2025-08-31,DOC311,Kwideo,Router,2,578.0,Voided,New York Warehouse
2025-08-28,DOC312,Jabbersphere,Cloud Subscription,3,522.0,Voided,Texas DC
2025-08-15,DOC313,Thoughtbridge,Server License,19,8683.0,Paid In Full,California Office
2025-06-21,DOC314,Lazzy,Switch,1,266.0,Open,California Office
2025-01-01,DOC315,Omba,Firewall,2,832.0,Voided,New York Warehouse
2025-09-26,DOC316,Yacero,Switch,2,532.0,Voided,California Office
2025-09-02,DOC317,Centizu,Server License,16,7312.0,Voided,California Office
2025-11-13,DOC318,Zoomdog,Access Point,4,652.0,Paid In Full,California Office
2025-06-10,DOC319,Trilith,Firewall,10,4160.0,Paid In Full,Remote
2025-05-14,DOC320,Gabspot,Switch,5,1330.0,Voided,New York Warehouse
2025-11-19,DOC321,Dabfeed,Router,3,867.0,Open,California Office
2025-08-13,DOC322,Meeveo,Router,4,1156.0,Voided,Texas DC
2025-07-03,DOC323,Chatterpoint,Cloud Subscription,16,2784.0,Voided,New York Warehouse
2025-01-17,DOC324,Trilia,Firewall,3,1248.0,Voided,Remote
2025-10-17,DOC325,Gabtype,Server License,3,1371.0,Paid In Full,Remote
2025-12-02,DOC326,Dabfeed,Firewall,8,3328.0,Paid In Full,Texas DC
2025-04-23,DOC327,Zava,Switch,5,1330.0,Paid In Full,New York Warehouse
2025-04-13,DOC328,Cogilith,Firewall,4,1664.0,Paid In Full,California Office
2025-11-22,DOC329,Photobug,Server License,11,5027.0,Voided,Texas DC
2025-12-05,DOC330,Lazz,Access Point,16,2608.0,Voided,New York Warehouse
2025-01-17,DOC331,Skalith,Server License,13,5941.0,Open,Remote
2025-03-21,DOC332,Avaveo,Router,12,3468.0,Voided,New York Warehouse
2025-12-08,DOC333,Eazzy,Cloud Subscription,12,2088.0,Open,New York Warehouse
2025-01-07,DOC334,Mydeo,Server License,16,7312.0,Open,Texas DC
2025-10-13,DOC335,Trilith,Access Point,17,2771.0,Open,California Office
2025-07-09,DOC336,Photofeed,Firewall,2,832.0,Open,California Office
2025-05-30,DOC337,Dabshots,Firewall,18,7488.0,Voided,Remote
2025-02-03,DOC338,Realfire,Server License,15,6855.0,Paid In Full,Texas DC
2025-02-27,DOC339,Tagcat,Cloud Subscription,19,3306.0,Paid In Full,California Office
2025-02-27,DOC340,Brainbox,Access Point,9,1467.0,Open,California Office
2025-06-14,DOC341,Gabtune,Cloud Subscription,1,174.0,Paid In Full,Texas DC
2025-02-19,DOC342,Npath,Switch,18,4788.0,Open,New York Warehouse
2025-05-16,DOC343,Dabjam,Server License,8,3656.0,Paid In Full,Texas DC
2025-01-06,DOC344,Photolist,Cloud Subscription,10,1740.0,Voided,Texas DC
2025-09-27,DOC345,Jayo,Router,5,1445.0,Open,New York Warehouse
2025-08-26,DOC346,Fivechat,Switch,12,3192.0,Open,Remote
2025-03-23,DOC347,Brightdog,Server License,19,8683.0,Voided,Remote
